Campaign,Campaign type,Campaign daily budget,Languages,Networks,Bid strategy type,Maximum CPC bid limit,Campaign status,Ad group,Ad group status,Keyword,Match type,Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Comment
SE | Search | Hemsida företag | 14D,Search,53.57,sv;en,Google Search,Maximize clicks,15,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paused placeholder only. Set a strict 750 SEK campaign-total budget for 14 days; never enable while Leadmap is running."
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,professionell hemsida företag,Phrase,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,webbdesign företag,Phrase,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,webbdesigner göteborg,Phrase,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,,,Responsive search ad,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,hemsida,foretag,Hemsida för svenska företag,Ny hemsida på 7–14 dagar,Professionell hemsida,Fast pris utan överraskning,Webbdesign för småföretag,Hemsida från 2 900 kr,Nomia webbyrå i Göteborg,Mobilanpassad och snabb,Tydlig kontaktväg online,Svensk personlig service,Klar hemsida utan krångel,Design för ditt företag,Se tidigare kundprojekt,Beställ hemsida online,Se design inom 72 timmar,"Professionell företagssida från 2 900 kr. Fast pris, mobilanpassning och kontaktformulär.","Se ett designförslag inom 72 timmar. Verifieringen kostar 499 kr och är återbetalningsbar.","Välj ett tydligt paket och få en färdig hemsida inom 7–14 dagar med personlig service.","Se kundprojekt, paket och priser innan du bestämmer dig. Tydliga villkor före köp.",No headline pins
SE | Search | Hemsida företag | 14D,,,,,,,,,jobb,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,lediga jobb,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,lön,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,utbildning,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,kurs,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,praktik,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,mall,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,template,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,wordpress tema,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,wix,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,squarespace,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,hostinger,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,gratis,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,ai website builder,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,bygga själv,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,gratis hemsideprogram,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,logga in,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,,,support,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
